InvoiceTransID,Invoice Code,Invoice Date,CustomerID,ProductID,Units,MSRP,UnitPrice,ExtPrice
864,288,2026-03-25,12,7,14,9.99,8.99,125.86
848,282,2026-03-25,5,5,17,14.99,13.99,237.83
833,277,2026-03-25,1,1,17,14.99,13.99,237.83
834,277,2026-03-25,1,2,12,14.99,13.99,167.88
835,277,2026-03-25,1,4,18,14.99,13.99,251.82
836,278,2026-03-25,4,4,13,14.99,13.99,181.87
837,278,2026-03-25,4,5,11,14.99,13.99,153.89
838,279,2026-03-25,7,1,4,14.99,13.99,55.96
839,279,2026-03-25,7,3,6,27.99,25.99,155.94
841,280,2026-03-25,10,7,10,9.99,8.99,89.9
842,280,2026-03-25,10,4,13,14.99,13.99,181.87
843,280,2026-03-25,10,1,8,14.99,13.99,111.92
844,280,2026-03-25,10,9,13,14.99,13.99,181.87
845,281,2026-03-25,2,5,12,14.99,13.99,167.88
846,281,2026-03-25,2,1,16,14.99,13.99,223.84
847,281,2026-03-25,2,6,15,27.99,25.99,389.85
840,279,2026-03-25,7,2,4,14.99,13.99,55.96
849,282,2026-03-25,5,6,16,27.99,25.99,415.84
857,285,2026-03-25,3,1,21,14.99,13.99,293.79
850,283,2026-03-25,8,1,6,14.99,13.99,83.94
863,288,2026-03-25,12,1,7,14.99,13.99,97.93
862,288,2026-03-25,12,4,11,14.99,13.99,153.89
861,287,2026-03-25,9,3,8,27.99,25.99,207.92
859,286,2026-03-25,6,2,14,14.99,13.99,195.86
858,286,2026-03-25,6,6,12,27.99,25.99,311.88
860,287,2026-03-25,9,5,5,14.99,13.99,69.95
856,285,2026-03-25,3,9,20,14.99,13.99,279.8
855,285,2026-03-25,3,5,22,14.99,13.99,307.78
854,284,2026-03-25,11,9,7,14.99,13.99,97.93
853,284,2026-03-25,11,8,7,9.99,8.99,62.93
852,283,2026-03-25,8,2,4,14.99,13.99,55.96
851,283,2026-03-25,8,3,4,27.99,25.99,103.96
812,270,2026-03-18,5,2,15,14.99,13.99,209.85
804,268,2026-03-18,10,1,12,14.99,13.99,167.88
811,269,2026-03-18,2,4,22,14.99,13.99,307.78
810,269,2026-03-18,2,2,17,14.99,13.99,237.83
809,269,2026-03-18,2,5,18,14.99,13.99,251.82
808,269,2026-03-18,2,9,12,14.99,13.99,167.88
807,268,2026-03-18,10,9,8,14.99,13.99,111.92
806,268,2026-03-18,10,8,8,9.99,8.99,71.92
805,268,2026-03-18,10,7,8,9.99,8.99,71.92
797,265,2026-03-18,1,3,15,27.99,25.99,389.85
803,267,2026-03-18,7,9,9,14.99,13.99,125.91
802,267,2026-03-18,7,5,10,14.99,13.99,139.9
801,266,2026-03-18,4,6,12,27.99,25.99,311.88
800,266,2026-03-18,4,9,9,14.99,13.99,125.91
799,266,2026-03-18,4,2,10,14.99,13.99,139.9
798,265,2026-03-18,1,6,17,27.99,25.99,441.83
796,265,2026-03-18,1,1,14,14.99,13.99,195.86
814,270,2026-03-18,5,5,16,14.99,13.99,223.84
813,270,2026-03-18,5,4,11,14.99,13.99,153.89
821,272,2026-03-18,11,4,12,14.99,13.99,167.88
815,270,2026-03-18,5,3,11,27.99,25.99,285.89
825,274,2026-03-18,6,3,18,27.99,25.99,467.82
816,271,2026-03-18,8,9,6,14.99,13.99,83.94
832,276,2026-03-18,12,8,8,9.99,8.99,71.92
831,276,2026-03-18,12,9,14,14.99,13.99,195.86
830,276,2026-03-18,12,7,13,9.99,8.99,116.87
829,276,2026-03-18,12,1,10,14.99,13.99,139.9
827,275,2026-03-18,9,3,9,27.99,25.99,233.91
826,275,2026-03-18,9,9,4,14.99,13.99,55.96
828,275,2026-03-18,9,5,10,14.99,13.99,139.9
824,274,2026-03-18,6,9,8,14.99,13.99,111.92
823,273,2026-03-18,3,2,21,14.99,13.99,293.79
822,273,2026-03-18,3,9,24,14.99,13.99,335.76
820,272,2026-03-18,11,7,14,9.99,8.99,125.86
819,272,2026-03-18,11,8,14,9.99,8.99,125.86
818,271,2026-03-18,8,2,8,14.99,13.99,111.92
817,271,2026-03-18,8,4,9,14.99,13.99,125.91
765,255,2026-03-11,7,5,8,14.99,13.99,111.92
774,258,2026-03-11,5,9,12,14.99,13.99,167.88
773,258,2026-03-11,5,5,13,14.99,13.99,181.87
772,257,2026-03-11,2,6,19,27.99,25.99,493.81
771,257,2026-03-11,2,2,19,14.99,13.99,265.81
770,256,2026-03-11,10,8,8,9.99,8.99,71.92
769,256,2026-03-11,10,9,14,14.99,13.99,195.86
768,256,2026-03-11,10,1,7,14.99,13.99,97.93
767,256,2026-03-11,10,4,11,14.99,13.99,153.89
757,253,2026-03-11,1,4,17,14.99,13.99,237.83
764,255,2026-03-11,7,9,6,14.99,13.99,83.94
763,254,2026-03-11,4,4,8,14.99,13.99,111.92
762,254,2026-03-11,4,5,16,14.99,13.99,223.84
761,254,2026-03-11,4,1,17,14.99,13.99,237.83
760,254,2026-03-11,4,9,15,14.99,13.99,209.85
759,253,2026-03-11,1,6,13,27.99,25.99,337.87
758,253,2026-03-11,1,1,16,14.99,13.99,223.84
776,258,2026-03-11,5,3,14,27.99,25.99,363.86
775,258,2026-03-11,5,2,14,14.99,13.99,195.86
766,255,2026-03-11,7,2,7,14.99,13.99,97.93
777,259,2026-03-11,8,6,10,27.99,25.99,259.9
787,262,2026-03-11,6,2,18,14.99,13.99,251.82
778,259,2026-03-11,8,5,9,14.99,13.99,125.91
795,264,2026-03-11,12,1,14,14.99,13.99,195.86
793,263,2026-03-11,9,4,10,14.99,13.99,139.9
792,263,2026-03-11,9,3,6,27.99,25.99,155.94
791,263,2026-03-11,9,1,10,14.99,13.99,139.9
790,263,2026-03-11,9,6,9,27.99,25.99,233.91
789,262,2026-03-11,6,5,10,14.99,13.99,139.9
788,262,2026-03-11,6,3,14,27.99,25.99,363.86
794,264,2026-03-11,12,9,12,14.99,13.99,167.88
780,260,2026-03-11,11,1,14,14.99,13.99,195.86
785,261,2026-03-11,3,5,13,14.99,13.99,181.87
784,261,2026-03-11,3,9,17,14.99,13.99,237.83
783,261,2026-03-11,3,6,14,27.99,25.99,363.86
782,260,2026-03-11,11,9,10,14.99,13.99,139.9
781,260,2026-03-11,11,7,12,9.99,8.99,107.88
786,262,2026-03-11,6,6,18,27.99,25.99,467.82
779,259,2026-03-11,8,1,9,14.99,13.99,125.91
733,245,2026-03-04,2,3,17,27.99,25.99,441.83
731,244,2026-03-04,10,8,14,9.99,8.99,125.86
732,245,2026-03-04,2,4,23,14.99,13.99,321.77
720,241,2026-03-04,1,9,21,14.99,13.99,293.79
734,246,2026-03-04,5,3,9,27.99,25.99,233.91
735,246,2026-03-04,5,2,16,14.99,13.99,223.84
729,244,2026-03-04,10,1,12,14.99,13.99,167.88
736,247,2026-03-04,8,1,10,14.99,13.99,139.9
730,244,2026-03-04,10,4,12,14.99,13.99,167.88
725,242,2026-03-04,4,3,13,27.99,25.99,337.87
728,244,2026-03-04,10,7,9,9.99,8.99,80.91
727,243,2026-03-04,7,5,10,14.99,13.99,139.9
726,243,2026-03-04,7,9,7,14.99,13.99,97.93
724,242,2026-03-04,4,9,8,14.99,13.99,111.92
723,242,2026-03-04,4,6,14,27.99,25.99,363.86
721,241,2026-03-04,1,3,18,27.99,25.99,467.82
738,247,2026-03-04,8,6,6,27.99,25.99,155.94
737,247,2026-03-04,8,5,6,14.99,13.99,83.94
722,242,2026-03-04,4,4,9,14.99,13.99,125.91
739,247,2026-03-04,8,2,9,14.99,13.99,125.91
749,250,2026-03-04,6,5,18,14.99,13.99,251.82
740,248,2026-03-04,11,4,10,14.99,13.99,139.9
755,252,2026-03-04,12,8,7,9.99,8.99,62.93
754,252,2026-03-04,12,9,14,14.99,13.99,195.86
753,252,2026-03-04,12,7,11,9.99,8.99,98.89
